time,tavg,tmin,tmax,prcp,wspd,pres,tsun
1995-10-01,14.5,12.1,17.7,53.0,,1017.8,6840.0
1995-11-01,9.3,6.5,12.7,74.0,,1014.9,5460.0
1995-12-01,6.5,4.3,8.7,54.0,,1013.0,3180.0
1996-01-01,7.9,6.0,10.0,53.0,,1004.6,3000.0
1996-02-01,5.4,2.9,8.2,139.0,,1015.3,4320.0
1996-03-01,7.5,4.7,11.0,49.0,,1015.3,7440.0
1996-04-01,9.3,6.3,13.1,67.0,,1016.9,9360.0
1996-05-01,9.9,7.3,12.9,137.0,,1014.2,8160.0
1996-06-01,15.5,11.6,19.7,9.0,,1022.1,14100.0
1996-07-01,16.5,12.9,20.8,13.0,,1020.0,11460.0
1996-08-01,16.2,12.8,20.3,81.0,,1016.7,12060.0
1996-09-01,14.1,10.4,18.7,60.0,,1017.1,11280.0
1996-10-01,13.1,10.9,15.6,56.0,,1017.3,5340.0
1996-11-01,8.8,6.3,11.4,154.0,,1013.9,4200.0
1996-12-01,5.3,3.1,7.7,70.0,,1012.3,4080.0
1997-01-01,4.0,1.5,6.9,32.0,,1018.9,4080.0
1997-02-01,8.8,6.5,11.0,134.0,,1020.2,3180.0
1997-03-01,9.8,7.0,13.4,27.0,,1026.3,8460.0
1997-04-01,10.2,6.0,15.1,23.0,,1022.3,14460.0
1997-05-01,13.2,9.5,17.4,77.0,,1013.1,13200.0
1997-06-01,14.2,11.7,17.1,144.0,,1009.9,5700.0
1997-07-01,16.4,12.5,20.5,36.0,,1020.3,12420.0
1997-08-01,18.5,15.8,22.4,105.0,,1015.6,9180.0
1997-09-01,15.9,12.0,21.3,11.0,,1021.2,12600.0
1997-10-01,13.3,10.3,17.1,112.0,,1016.4,8400.0
1997-11-01,10.4,8.1,13.2,199.0,,1002.8,3480.0
1997-12-01,8.2,5.8,10.8,153.0,,1011.8,4380.0
1998-01-01,6.7,4.2,9.6,159.0,,1015.2,5220.0
1998-02-01,7.9,5.0,11.5,21.0,,1026.5,6060.0
1998-03-01,9.2,6.5,12.2,55.0,,1024.0,4680.0
1998-04-01,8.6,6.3,11.4,197.0,,1003.4,4560.0
1998-05-01,13.5,9.8,18.0,49.0,,1017.0,10800.0
1998-06-01,14.8,11.8,18.1,97.0,,1016.3,7380.0
1998-07-01,15.3,12.6,18.4,65.0,,1016.9,6060.0
1998-08-01,16.4,12.0,21.3,24.0,,1021.0,15000.0
1998-09-01,15.3,12.4,19.0,169.0,,1010.4,8820.0
1998-10-01,12.5,9.9,15.0,217.0,,1016.3,4620.0
1998-11-01,8.0,5.3,10.8,98.0,,1020.0,5100.0
1998-12-01,8.4,5.8,10.7,217.0,,1019.3,2400.0
1999-01-01,8.3,5.6,10.8,190.0,,1015.7,3660.0
1999-02-01,7.4,5.1,9.9,91.0,,1023.7,3600.0
1999-03-01,8.4,5.4,12.1,82.0,,1012.8,6960.0
1999-04-01,10.2,7.8,13.1,221.0,,1014.2,5880.0
1999-05-01,13.6,10.3,17.9,45.0,,1015.3,10440.0
1999-06-01,14.3,10.5,18.2,89.0,,1018.8,11040.0
1999-07-01,17.5,13.6,22.2,16.0,,1018.1,14940.0
1999-08-01,17.1,14.0,21.3,161.0,,1013.1,7680.0
1999-09-01,15.8,12.3,20.0,145.0,,1009.4,9120.0
1999-10-01,12.0,8.7,15.9,133.0,,1013.9,6240.0
1999-11-01,9.6,7.1,12.2,82.0,,1023.4,4860.0
1999-12-01,8.1,5.2,10.6,275.0,,1014.6,2580.0
2000-01-01,6.5,4.3,9.0,47.0,,1027.2,3780.0
2000-02-01,8.6,6.2,11.1,138.0,,1023.3,3360.0
2000-03-01,7.7,4.5,11.4,55.0,,1024.1,8520.0
2000-04-01,8.6,5.3,12.2,191.0,,1005.2,6960.0
2000-05-01,12.5,9.6,16.2,146.0,,1015.4,5460.0
2000-06-01,15.2,11.9,19.3,41.0,,1020.3,9240.0
2000-07-01,15.8,12.5,19.8,86.0,,1015.6,9000.0
2000-08-01,16.7,13.4,21.0,40.0,,1018.1,8220.0
2000-09-01,15.6,12.4,19.5,139.0,,1013.1,8220.0
2000-10-01,11.6,8.8,14.5,207.0,,1012.8,4980.0
2000-11-01,8.9,6.3,11.7,229.0,,1002.7,4260.0
2000-12-01,8.7,6.2,11.3,214.0,,1004.8,2700.0
2001-01-01,6.4,3.9,8.9,251.0,,1007.8,2940.0
2001-02-01,7.1,4.0,10.2,136.0,,1019.1,5880.0
2001-03-01,8.8,6.8,11.7,221.0,,1003.1,3540.0
2001-04-01,9.4,6.6,12.2,135.0,,1015.7,6600.0
2001-05-01,12.5,8.5,16.9,45.0,,1018.5,13740.0
2001-06-01,14.8,10.3,19.5,24.0,,1019.0,12300.0
2001-07-01,16.7,12.7,21.4,79.0,,1015.7,11340.0
2001-08-01,17.0,13.7,21.5,52.0,,1016.2,9300.0
2001-09-01,14.2,10.6,18.3,73.0,,1017.9,9720.0
2001-10-01,14.3,11.6,17.6,134.0,,1012.6,7200.0
2001-11-01,8.8,5.4,12.1,71.0,,1026.7,6300.0
2001-12-01,5.3,1.9,8.8,79.0,,1025.0,7020.0
2002-01-01,8.0,5.7,10.5,121.0,,1020.4,3660.0
2002-02-01,9.0,6.8,11.0,161.0,,1016.3,3480.0
2002-03-01,9.4,6.4,12.8,60.0,,1016.9,7440.0
2002-04-01,9.7,6.4,13.8,43.0,,1016.3,10680.0
2002-05-01,12.1,8.6,15.9,128.0,,1013.2,10560.0
2002-06-01,13.7,10.8,16.8,106.0,,1017.6,7860.0
2002-07-01,15.5,12.6,19.1,84.0,,1017.7,8160.0
2002-08-01,16.1,13.1,20.0,42.0,,1017.6,9900.0
2002-09-01,15.3,11.0,20.7,22.0,,1018.9,13200.0
2002-10-01,12.6,9.4,16.3,142.0,,1011.8,6300.0
2002-11-01,10.8,8.6,13.2,258.0,,1005.9,3780.0
2002-12-01,8.5,6.3,10.5,181.0,,1012.1,1860.0
2003-01-01,5.9,3.5,8.6,142.0,,1018.8,5340.0
2003-02-01,6.4,3.5,9.7,83.0,,1017.8,6120.0
2003-03-01,9.6,5.9,14.4,40.0,,1020.9,10320.0
2003-04-01,10.8,6.8,15.5,63.0,,1014.7,12780.0
2003-05-01,12.3,8.8,16.0,88.0,,1018.5,9780.0
2003-06-01,15.9,12.0,20.1,68.0,,1016.1,10980.0
2003-07-01,17.4,13.9,21.4,59.0,,1016.7,8640.0
2003-08-01,18.8,14.5,24.6,14.0,,1018.0,13860.0
2003-09-01,15.5,10.6,21.1,38.0,,1020.4,12480.0
2003-10-01,11.0,7.9,14.7,85.0,,1013.4,6240.0
2003-11-01,10.3,7.5,13.0,196.0,,1012.7,4320.0
2003-12-01,7.5,5.2,10.2,112.0,,1017.9,4320.0
